player_name,position,birthday,feet,inches,weight(lbs.),born,college,high_school_name,high_school_state,draft_team,draft_info
Mike Evans,: WR,1993-08-21,6,5,231,"
    in Galveston, TX",Texas A&M,Ball,TX,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 1st round (7th overall) of the 2014 NFL Draft.
Josh Allen,: C,1991-10-30,6,3,315,"
    in Dallas, TX",La-Monroe,Cedar Hill,TX,NA,
David Terrell,: WR,1979-03-13,6,3,212,"
    in Richmond, VA",Michigan,Huguenot,VA,Chicago Bears,Draft: Chicago Bears in the 1st round (8th overall) of the 2001 NFL Draft.
Donald Jones,: LB,1969-03-26,6,0,231,"
    in Lynchburg, VA",Washington,William Campbell,VA,New Orleans Saints,Draft: New Orleans Saints in the 9th round (245th overall) of the 1992 NFL Draft.
Kellen Winslow,: TE,1957-11-05,6,5,251,"
    in St. Louis, MO",Missouri,East St. Louis,IL,San Diego Chargers,Draft: San Diego Chargers in the 1st round (13th overall) of the 1979 NFL Draft.
Larry Donnell,: RB,1960-07-11,5,11,194,"
    in Mobile, AL",Jackson St.,Mattie T. Blount,AL,Miami Dolphins,Draft: Miami Dolphins in the 7th round (192nd overall) of the 1982 NFL Draft.
Anthony Gonzalez,: WR,1984-09-18,6,0,193,"
    in Cleveland, OH",Ohio St.,St. Ignatius,OH,Indianapolis Colts,Draft: Indianapolis Colts in the 1st round (32nd overall) of the 2007 NFL Draft.
Antonio Gibson,: RB,1998-06-23,6,2,220,"
    in Stockbridge, GA",Memphis,Eagle's Landing Christian,GA,Washington Football Team,Draft: Washington Football Team in the 3rd round (66th overall) of the 2020 NFL Draft.
Chris Brown,: RB,1981-04-17,6,3,235,"
    in Winfield, IL",Colorado,Naperville North,IL,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (93rd overall) of the 2003 NFL Draft.
James Allen,: WB-HB,1909-11-23,6,0,207,"
    in St. Helena, CA",St. Mary's (CA),St. Helena,CA,NA,
Will Heller,: HB-TB,1910-11-24,5,11,195,"
    in Pittsburgh, PA",Pittsburgh,Steelton,PA,NA,
Ricky Williams,: RB,1977-05-21,5,10,226,"
    in San Diego, CA",Texas,Patrick Henry,CA,New Orleans Saints,Draft: New Orleans Saints in the 1st round (5th overall) of the 1999 NFL Draft.
Chris Thompson,: RB,1990-10-20,5,8,195,"
    in Greenville, FL",Florida St.,Madison County,FL,Washington Redskins,Draft: Washington Redskins in the 5th round (154th overall) of the 2013 NFL Draft.
Jesse James,: RB,1961-01-02,6,0,215,"
    in Jacksonville, TX",SMU,Stratford,TX,New England Patriots,Draft: New England Patriots in the 7th round (187th overall) of the 1983 NFL Draft.
Alex Van Pelt,: QB,1970-05-01,6,1,220,"
    in Pittsburgh, PA",Pittsburgh,Winston Churchill,TX,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 8th round (216th overall) of the 1993 NFL Draft.
Michael Floyd,: RB,1975-06-23,6,2,231,"
    in Detroit, MI",Michigan,Cooley,MI,New England Patriots,Draft: New England Patriots in the 3rd round (81st overall) of the 1998 NFL Draft.
Greg Clark,: TE,1972-04-07,6,4,251,"
    in Centerville, UT",Stanford,Viewmont,UT,San Francisco 49ers,Draft: San Francisco 49ers in the 3rd round (77th overall) of the 1997 NFL Draft.
Greg Jones,: RB,1948-02-12,6,1,201,"
    in San Francisco, CA",UCLA,South San Francisco,CA,Minnesota Vikings,Draft: Minnesota Vikings in the 5th round (129th overall) of the 1970 NFL Draft.
Mike Bell,: RB,1983-04-23,6,0,225,"
    in Denver, CO",Arizona,Tolleson Union,AZ,NA,
Charles Johnson,: DB,1960-09-01,6,0,191,"
    in La Grange, TX",Texas,La Grange,TX,NA,
Jamaal Charles,: T,1987-04-10,6,5,284,"
    in Chino Hills, CA",USC,Chino Hills,CA,New Orleans Saints,Draft: New Orleans Saints in the 2nd round (64th overall) of the 2010 NFL Draft.
Jason Campbell,: QB,1981-12-31,6,5,235,"
    in Laurel, MS",Auburn,Taylorsville,MS,Washington Redskins,Draft: Washington Redskins in the 1st round (25th overall) of the 2005 NFL Draft.
Stephen Alexander,: C,1904-07-28,5,8,185,"
    in New York, NY",Brown,Manual Training,NY,NA,
Vincent Jackson,: RB,1962-11-30,6,1,227,"
    in Bessemer, AL",Auburn,McAdory,AL,Los Angeles Raiders,"Draft: Los Angeles Raiders in the 7th round (183rd overall) of the 1987 NFL Draft., 
Tampa Bay Buccaneers in the 1st round (1st overall) of the 1986 NFL Draft."
Fred Davis,: T-DT,1919-02-15,6,3,244,"
    in Louisville, KY",Alabama,DuPont Manual,KY,Washington Redskins,Draft: Washington Redskins in the 3rd round (25th overall) of the 1941 NFL Draft.
Preston Parker,: WR,1987-02-13,6,0,200,"
    in Delray Beach, FL",Florida St.,Atlantic Community,FL,NA,"Twitter:
@PrestonParker87
"
Lamar Smith,: DB,1986-07-17,5,11,191,"
    in Columbus, OH",Cincinnati,Independence,OH,Dallas Cowboys,Draft: Dallas Cowboys in the 5th round (143rd overall) of the 2009 NFL Draft.
Robert Griffin,: LB-C,1929-02-12,6,3,235,"
    in Fort Worth, TX",Arkansas,Frederick,OK,Los Angeles Rams,Draft: Los Angeles Rams in the 2nd round (25th overall) of the 1952 NFL Draft.
Roger Lewis,: RB,1942-02-22,6,3,225,"
    in New Orleans, LA",Washington St.,San Francisco Polytechnic,CA,San Francisco 49ers,"Draft: San Francisco 49ers in the 6th round (71st overall) of the 1964 NFL Draft., 
Denver Broncos in the 22nd round (169th overall) of the 1964 AFL Draft."
Michael Jenkins,: WR,1982-06-18,6,4,214,"
    in Tampa, FL",Ohio St.,Leto,FL,Atlanta Falcons,Draft: Atlanta Falcons in the 1st round (29th overall) of the 2004 NFL Draft.
Michael Bennett,: RB,1978-08-13,5,9,205,"
    in Milwaukee, WI",Wisconsin,Milwaukee Tech,WI,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (27th overall) of the 2001 NFL Draft.
Donald Lee,: T,1921-02-10,6,4,254,"
    in Los Angeles, CA",Alabama,John Marshall,CA,NA,
Robert Smith,: DB-HB-WB,1925-08-20,6,1,191,"
    in Ranger, TX",Tulsa,Will Rogers,OK,Washington Redskins,Draft: Washington Redskins in the 24th round (219th overall) of the 1947 NFL Draft.
Jerry Rice,: WR,1962-10-13,6,2,200,"
    in Crawford, MS",Miss. Valley St.,B.L. Moor,MS,San Francisco 49ers,Draft: San Francisco 49ers in the 1st round (16th overall) of the 1985 NFL Draft.
James Robinson,: RB,1998-08-09,5,9,219,"
    in Rockford, IL",Butler (KS),Rockford Lutheran,IL,NA,
Rob Kelley,: C,1930-05-08,6,2,232,"
    in Hereford, TX",West Texas A&M,Bovina,TX,Philadelphia Eagles,Draft: Philadelphia Eagles in the 25th round (293rd overall) of the 1952 NFL Draft.
Van Jefferson,: WR,1969-02-22,5,11,185,"
    in Jacksonville, FL",Central Florida,William M. Raines,FL,Houston Oilers,Draft: Houston Oilers in the 9th round (240th overall) of the 1991 NFL Draft.
Roy Williams,: DB,1980-08-14,6,0,222,"
    in Redwood City, CA",Oklahoma,James Logan,CA,Dallas Cowboys,Draft: Dallas Cowboys in the 1st round (8th overall) of the 2002 NFL Draft.
Mike Brown,: WR,1989-02-09,5,10,205,"
    in Charlottesville, VA",Liberty,Monticello,VA,NA,
Cedrick Wilson Sr.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff George,: FB-LB,1923-12-20,6,0,205,"
    in Pittsburgh, PA",Penn St.,NA,NA,Philadelphia Eagles,NA
John Ross,: WR,1995-11-27,5,11,194,"
    in Long Beach, CA",Washington,Jordan Long Beach,CA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (9th overall) of the 2017 NFL Draft.
Michael Thomas,: T,1919-02-13,6,1,207,"
    in Brownsville, PA",Tulane,NA,NA,NA,NA
William Green,: DB,1965-11-03,6,1,194,"
    in USA",Indiana,Glenbard West,IL,NA,
Willie Parker,: RB,1980-11-11,5,10,212,"
    in Clinton, NC",North Carolina,Clinton,NC,NA,"Twitter:
@3williethadude9
"
Eli Manning,: QB,1949-05-19,6,3,212,"
    in Cleveland, MS",Mississippi,Drew,MS,New Orleans Saints,Draft: New Orleans Saints in the 1st round (2nd overall) of the 1971 NFL Draft.
Vernon Davis,: DB,1949-11-02,6,4,208,"
    in Dowagiac, MI",Western Michigan,Dowagiac,MI,NA,
David Thomas,: TE,1983-07-05,6,3,248,"
    in Plainview, TX",Texas,Frenship,TX,New England Patriots,Draft: New England Patriots in the 3rd round (86th overall) of the 2006 NFL Draft.
Brian Mitchell,: RB,1968-08-18,5,11,225,"
    in Fort Polk, LA",Louisiana,Plaquemine,LA,Washington Redskins,Draft: Washington Redskins in the 5th round (130th overall) of the 1990 NFL Draft.
Chris Johnson,: RB,1985-09-23,5,11,195,"
    in Orlando, FL",East Carolina,Olympia,FL,Tennessee Titans,Draft: Tennessee Titans in the 1st round (24th overall) of the 2008 NFL Draft.
Donte' Stallworth,: WR,1980-11-10,6,0,220,,NA,NA,NA,NA,NA
Thomas Jones,: DE,1978-09-03,6,3,270,"
    in Barberton, OH",Penn St.,Wadsworth,OH,NA,
Antonio Callaway,: WR,1997-01-09,5,11,200,"
    in Miami, FL",Florida,Booker T. Washington,FL,Cleveland Browns,Draft: Cleveland Browns in the 4th round (105th overall) of the 2018 NFL Draft.
Brian Robinson,: RB,1999-03-22,6,1,228,"
    in Tuscaloosa, AL",Alabama,Hillcrest,AL,Washington Commanders,Draft: Washington Commanders in the 3rd round (98th overall) of the 2022 NFL Draft.
Tim Patrick,: G-T,1959-08-31,6,5,277,"
    in Canton, OH",Notre Dame,Thomas Jefferson,TX,Green Bay Packers,Draft: Green Bay Packers in the 9th round (227th overall) of the 1981 NFL Draft.
Lamar Jackson,: RB,1985-10-02,5,11,210,"
    in Detroit, MI",Nebraska,Horn Lake,MS,Green Bay Packers,Draft: Green Bay Packers in the 2nd round (63rd overall) of the 2007 NFL Draft.
Mike Williams,: TE,1995-10-03,6,6,245,"
    in Lakewood, NJ",Penn St.,Southern Regional,NJ,Miami Dolphins,Draft: Miami Dolphins in the 2nd round (42nd overall) of the 2018 NFL Draft.
Derek Carr,: QB,1991-03-28,6,3,215,"
    in Fresno, CA",Fresno St.,Bakersfield Christian,CA,Oakland Raiders,Draft: Oakland Raiders in the 2nd round (36th overall) of the 2014 NFL Draft.
Ty Johnson,: T,1995-11-28,6,7,301,"
    in Florissant, MO",Florida St.,Hazelwood Central,MO,Cleveland Browns,Draft: Cleveland Browns in the 5th round (160th overall) of the 2017 NFL Draft.
Logan Thomas,: TE-QB,1991-07-01,6,6,250,"
    in Lynchburg, VA",Virginia Tech,Brookville,VA,Arizona Cardinals,Draft: Arizona Cardinals in the 4th round (120th overall) of the 2014 NFL Draft.
David Martin,: LB,1946-10-23,6,0,225,"
    in Kansas City, KS",Notre Dame,Bishop Miege,KS,Philadelphia Eagles,Draft: Philadelphia Eagles in the 6th round (157th overall) of the 1968 NFL Draft.
Jimmy Smith,: WR,1969-02-09,6,1,213,"
    in Detroit, MI",Jackson St.,Callaway,MS,Dallas Cowboys,Draft: Dallas Cowboys in the 2nd round (36th overall) of the 1992 NFL Draft.
Aaron Jones,: RB,1994-12-02,5,9,208,"
    in Savannah, GA",Texas-El Paso,Burges,TX,Green Bay Packers,Draft: Green Bay Packers in the 5th round (182nd overall) of the 2017 NFL Draft.
Terry Allen,: RB,1968-02-21,5,10,204,"
    in Commerce, GA",Clemson,Banks Co.,GA,Minnesota Vikings,Draft: Minnesota Vikings in the 9th round (241st overall) of the 1990 NFL Draft.
Antonio Brown,: WR,1978-03-03,5,10,175,"
    in Miami, FL",West Virginia,Miami Central,FL,NA,
Cam Newton,: QB,1989-05-11,6,5,245,"
    in College Park, GA",Florida,Westlake,GA,Carolina Panthers,Draft: Carolina Panthers in the 1st round (1st overall) of the 2011 NFL Draft.
Kevin Johnson,: WR,1976-07-15,5,11,195,"
    in Trenton, NJ",Syracuse,Hamilton West,NJ,Cleveland Browns,Draft: Cleveland Browns in the 2nd round (32nd overall) of the 1999 NFL Draft.
Steven Jackson,: DB,1960-07-01,6,1,202,"
    in Winston-Salem, NC",North Carolina,North Forsyth,NC,Cleveland Browns,Draft: Cleveland Browns in the 8th round (211th overall) of the 1982 NFL Draft.
Greg Hill,: RB,1972-02-23,5,11,207,"
    in Dallas, TX",Texas A&M,David W. Carter,TX,Kansas City Chiefs,Draft: Kansas City Chiefs in the 1st round (25th overall) of the 1994 NFL Draft.
Kevin Walter,: WR,1981-08-04,6,3,216,"
    in Lake Forest, IL",Eastern Michigan,Libertyville,IL,New York Giants,Draft: New York Giants in the 7th round (255th overall) of the 2003 NFL Draft.
Travis Henry,: NT,1970-07-03,6,1,280,"
    in Las Vegas, NV",California,Valley,NV,NA,
Lamont Warren,: RB,1973-01-04,5,11,202,"
    in Indianapolis, IN",Colorado,Susan Miller Dorsey,CA,Indianapolis Colts,Draft: Indianapolis Colts in the 6th round (164th overall) of the 1994 NFL Draft.
Larry Johnson,: RB,1979-11-19,6,1,235,"
    in State College, PA",Penn St.,La Plata,MD,Kansas City Chiefs,Draft: Kansas City Chiefs in the 1st round (27th overall) of the 2003 NFL Draft.
David Wilson,: QB,1959-04-27,6,3,206,"
    in Anaheim, CA",Illinois,Katella,CA,New Orleans Saints,Draft: New Orleans Saints in the 1st round (1st overall) of the 1981 NFL Supplemental Draft.
Rob Moore,: TE,1949-02-12,6,3,220,"
    in Baltimore, MD",Stanford,Klamath Union,OR,Oakland Raiders,Draft: Oakland Raiders in the 5th round (123rd overall) of the 1971 NFL Draft.
Andre Davis,: WR,NA,6,1,207,NA,South Florida,NA,NA,NA,NA
James White,: DE,1976-09-28,6,3,285,"
    in Shreveport, LA",UNLV,Captain Shreve,LA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 7th round (246th overall) of the 1999 NFL Draft.
Terrance Williams,: WR,1989-09-08,6,2,210,"
    in Dallas, TX",Baylor,W.T. White,TX,Dallas Cowboys,Draft: Dallas Cowboys in the 3rd round (74th overall) of the 2013 NFL Draft.
Chris Henry,: WR,1983-05-17,6,4,200,"
    in Belle Chasse, LA",West Virginia,Belle Chasse,LA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 3rd round (83rd overall) of the 2005 NFL Draft.
Joe Horn,: WR,1972-01-16,6,1,213,"
    in New Haven, CT",Itawamba (MS),Douglas Byrd,NC,Kansas City Chiefs,Draft: Kansas City Chiefs in the 5th round (135th overall) of the 1996 NFL Draft.
Anthony Miller,: WR,1965-04-15,5,11,190,"
    in Los Angeles, CA",Pasadena CC,John Muir,CA,San Diego Chargers,Draft: San Diego Chargers in the 1st round (15th overall) of the 1988 NFL Draft.
Marvin Jones,: LB,1963-03-08,6,1,234,"
    in Cleveland, TN",Tennessee,Bradley,TN,Dallas Cowboys,Draft: Dallas Cowboys in the 10th round (262nd overall) of the 1987 NFL Draft.
Greg Little,: WR,1989-05-30,6,2,220,"
    in Durham, NC",North Carolina,Hillside,NC,Cleveland Browns,Draft: Cleveland Browns in the 2nd round (59th overall) of the 2011 NFL Draft.
John Brown,: C-G-T,1902-10-24,6,0,191,"
    in Dayton, OH",Dayton,NA,NA,NA,NA
Tyrone Wheatley,: RB,1972-01-19,6,0,235,"
    in Inkster, MI",Michigan,Robichaud,MI,New York Giants,Draft: New York Giants in the 1st round (17th overall) of the 1995 NFL Draft.
Ronald Jones,: TE,1946-10-07,6,3,220,"
    in Dallas, TX",Texas-El Paso,W.W. Samuell,TX,Green Bay Packers,Draft: Green Bay Packers in the 6th round (134th overall) of the 1969 NFL Draft.
Austin Davis,: QB,1989-06-02,6,2,221,"
    in Ringgold, GA",Southern Miss,West Lauderdale,MS,NA,
Chris Baker,: TE,1979-11-18,6,3,261,"
    in St. Albans, NY",Michigan St.,Saline,MI,New York Jets,Draft: New York Jets in the 3rd round (88th overall) of the 2002 NFL Draft.
Sam Bradford,: E,1914-08-12,6,2,190,"
    in Rockwall, TX",Baylor,Cleburne,TX,Pittsburgh Pirates,Draft: Pittsburgh Pirates in the 6th round (41st overall) of the 1939 NFL Draft.
Jeff Graham,: WR,1969-02-14,6,2,200,"
    in Dayton, OH",Ohio St.,Archbishop Alter,OH,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 2nd round (46th overall) of the 1991 NFL Draft.
Chris Moore,: T,1970-06-21,6,6,290,"
    in Ardmore, PA",Duke,Archbishop Carroll,PA,NA,
K.J. Hamler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Green,: WR,1988-07-31,6,4,207,"
    in Summerville, SC",Georgia,Summerville,SC,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (4th overall) of the 2011 NFL Draft.
Reggie Williams,: WR,1983-05-17,6,4,233,"
    in Landstuhl, Rhineland-Palatinate",Washington,Lakes,WA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 1st round (9th overall) of the 2004 NFL Draft.
Marion Barber,: RB,1959-12-06,6,3,224,"
    in Fort Lauderdale, FL",Minnesota,Chadsey,MI,New York Jets,Draft: New York Jets in the 2nd round (30th overall) of the 1981 NFL Draft.
Mike Thomas,: DB,1945-03-31,6,0,190,"
    in Ypsilanti, MI",Michigan,Ypsilanti,MI,Green Bay Packers,Draft: Green Bay Packers in the 12th round (314th overall) of the 1967 NFL Draft.
Pat Johnson,: DB,1972-06-10,6,1,204,"
    in Mineral Point, MO",Purdue,Potosi,MO,NA,
Deon Jackson,: RB,1999-02-18,5,11,216,"
    in Atlanta, GA",Duke,Pace Academy,GA,NA,
Jonathan Stewart,: RB,1970-03-12,5,9,203,"
    in Florissant, MO",Michigan,McCluer North,MO,New England Patriots,Draft: New England Patriots in the 5th round (112th overall) of the 1991 NFL Draft.
Robert Woods,: T,1965-10-03,6,5,295,"
    in Fayetteville, NC",Eastern Washington,Dos Pueblos,CA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 4th round (111th overall) of the 1989 NFL Draft.
Daniel Thomas,: DT,1956-01-29,6,6,240,"
    in Phillipsburg, NJ",Rutgers,Belvidere,NJ,Detroit Lions,Draft: Detroit Lions in the 5th round (123rd overall) of the 1978 NFL Draft.
Earl Bennett,: WR,1987-03-23,6,1,205,"
    in Birmingham, AL",Vanderbilt,West End,AL,Chicago Bears,Draft: Chicago Bears in the 3rd round (70th overall) of the 2008 NFL Draft.
Chris Sanders,: DB,1973-06-10,5,9,185,"
    in San Diego, CA",Arizona,Helix,CA,NA,
Ty Chandler,: RB,1998-05-12,5,11,204,,Tennessee,Montgomery Bell Academy,TN,Minnesota Vikings,Draft: Minnesota Vikings in the 5th round (169th overall) of the 2022 NFL Draft.
Ryan Griffin,: TE,1990-01-11,6,6,255,"
    in Londonderry, NH",Connecticut,Londonderry,NH,Houston Texans,Draft: Houston Texans in the 6th round (201st overall) of the 2013 NFL Draft.
Troy Smith,: WR,1977-07-30,6,2,193,"
    in Greenville, NC",East Carolina,J.H. Rose,NC,Philadelphia Eagles,Draft: Philadelphia Eagles in the 6th round (201st overall) of the 1999 NFL Draft.
Daniel Jones,: T,1970-07-22,6,7,298,"
    in Malden, MA",Maine,Malden,MA,NA,
Reggie Brown,: RB,1973-06-26,6,0,244,"
    in Highland Park, MI",Fresno St.,Henry Ford,MI,Seattle Seahawks,Draft: Seattle Seahawks in the 3rd round (91st overall) of the 1996 NFL Draft.
James Cook,: RB,1999-09-25,5,11,190,,Georgia,Miami Central,FL,Buffalo Bills,Draft: Buffalo Bills in the 2nd round (63rd overall) of the 2022 NFL Draft.
David Nelson,: WR,1986-11-07,6,5,217,"
    in Wichita Falls, TX",Florida,S.H. Rider,TX,NA,"Twitter:
@DavidNelson86
"
Ty Montgomery,: WR-RB,1993-01-22,6,0,220,"
    in Jackson, MS",Stanford,St. Mark's,TX,Green Bay Packers,Draft: Green Bay Packers in the 3rd round (94th overall) of the 2015 NFL Draft.
James Stewart,: RB,1963-06-04,5,11,208,"
    in Montgomery, AL",Auburn,Johnson Abernathy Graetz,AL,NA,
David Moore,: DB,1987-03-22,5,10,185,"
    in Spartanburg, SC",Vanderbilt,Broome,SC,Chicago Bears,Draft: Chicago Bears in the 4th round (119th overall) of the 2009 NFL Draft.
Jonathan Taylor,: RB,1999-01-19,5,10,226,"
    in Salem, NJ",Wisconsin,Salem,NJ,Indianapolis Colts,Draft: Indianapolis Colts in the 2nd round (41st overall) of the 2020 NFL Draft.
Charles D. Johnson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Thomas,: RB,1977-11-07,6,2,225,"
    in Pineville, LA",Michigan,Winnfield,LA,Chicago Bears,Draft: Chicago Bears in the 2nd round (38th overall) of the 2001 NFL Draft.
Kevin Smith,: DB,1965-07-31,5,11,170,"
    in USA",Valdosta St.,Westover,GA,NA,
Scott Miller,: WR,1963-05-24,6,2,198,"
    in Jacksonville, FL",Vanderbilt,Lake Howell,FL,Los Angeles Rams,Draft: Los Angeles Rams in the 2nd round (50th overall) of the 1985 NFL Draft.
Brandon Marshall,: WR,1984-03-23,6,5,232,"
    in Pittsburgh, PA",Central Florida,Lake Howell,FL,Denver Broncos,Draft: Denver Broncos in the 4th round (119th overall) of the 2006 NFL Draft.
Matt Ryan,: WR,1986-04-19,6,0,197,"
    in Aurora, CO",San Diego,Regis Jesuit,CO,NA,
Doug Johnson,: C,1946-08-19,6,5,262,"
    in Gary, IN",Tennessee,Bradley,TN,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (2nd overall) of the 1968 NFL Draft.
Dwayne Allen,: TE,1990-02-24,6,3,265,"
    in Fayetteville, NC",Clemson,Terry Sanford,NC,Indianapolis Colts,Draft: Indianapolis Colts in the 3rd round (64th overall) of the 2012 NFL Draft.
Tyron Johnson,: WR,1996-01-08,6,1,193,"
    in New Orleans, LA",LSU,Warren Easton,LA,NA,Pronunciation: \TIE-rin\
James Washington,: WR,1996-04-02,5,11,213,"
    in Abilene, TX",Oklahoma St.,Stamford,TX,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 2nd round (60th overall) of the 2018 NFL Draft.
Andre Johnson,: WR,1981-07-11,6,3,229,"
    in Miami, FL",Miami (FL),Miami Senior,FL,Houston Texans,Draft: Houston Texans in the 1st round (3rd overall) of the 2003 NFL Draft.
Mark Ingram,: WR,1965-08-23,5,10,194,"
    in Rockford, IL",Michigan St.,Northwestern,MI,New York Giants,Draft: New York Giants in the 1st round (28th overall) of the 1987 NFL Draft.
Eddie George,: G,1921-06-12,5,11,210,"
    in San Francisco, CA",Santa Clara,St. Ignatius,CA,Green Bay Packers,Draft: Green Bay Packers in the 20th round (188th overall) of the 1943 NFL Draft.
Alex Green,: RB,1988-06-23,6,0,220,"
    in Portland, OR",Hawaii,Benson Polytechnic,OR,Green Bay Packers,Draft: Green Bay Packers in the 3rd round (96th overall) of the 2011 NFL Draft.
Mike Davis,: WR,1992-05-11,6,0,197,"
    in Dallas, TX",Texas,Skyline,TX,NA,
Justin Jackson,: LB,1991-08-24,6,1,232,,Wake Forest,NA,NA,NA,NA
James Jackson,: LLB,1974-12-29,6,1,247,"
    in Denver, CO",Washington St.,Kettle Falls,WA,Philadelphia Eagles,Draft: Philadelphia Eagles in the 2nd round (57th overall) of the 1997 NFL Draft.
Brad Smith,: WR,1983-12-12,6,2,213,"
    in Youngstown, OH",Missouri,Chaney,OH,New York Jets,Draft: New York Jets in the 4th round (103rd overall) of the 2006 NFL Draft.
David Johnson,: WR,1989-02-27,6,2,215,"
    in Edgewood, KY",Grand Valley St.,Lloyd Memorial,KY,Green Bay Packers,Draft: Green Bay Packers in the 7th round (216th overall) of the 2013 NFL Draft.
Robert Foster,: C-LB,1919-01-05,5,11,205,"
    in Yeagertown, PA",Sacramento St.,Huntingdon,PA,NA,
Irv Smith,: TE,1971-10-13,6,3,249,"
    in Trenton, NJ",Notre Dame,Pemberton Twp.,NJ,New Orleans Saints,Draft: New Orleans Saints in the 1st round (20th overall) of the 1993 NFL Draft.
Chris Hogan,: WR,1987-10-24,6,1,210,"
    in Ramapo, NJ",Monmouth,Ramapo,NJ,NA,
Dan Campbell,: TE,1976-04-13,6,5,265,"
    in Clifton, TX",Texas A&M,Glen Rose,TX,New York Giants,Draft: New York Giants in the 3rd round (79th overall) of the 1999 NFL Draft.
Jerry Porter,: DB,1949-03-16,6,3,208,"
    in Belleville, IL",Arkansas,Belleville,IL,Chicago Bears,Draft: Chicago Bears in the 4th round (89th overall) of the 1971 NFL Draft.
Jim Miller,: QB,1971-02-09,6,2,226,"
    in Grosse Pointe, MI",Michigan St.,Kettering,MI,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 6th round (178th overall) of the 1994 NFL Draft.
Michael Turner,: RB,1982-02-13,5,10,244,"
    in Waukegan, IL",Northern Illinois,North Chicago Community,IL,San Diego Chargers,Draft: San Diego Chargers in the 5th round (154th overall) of the 2004 NFL Draft.
Terrell Davis,: DE-DT,1979-01-24,6,5,305,"
    in Shelby, MS",Mississippi St.,East Side,MS,Denver Broncos,Draft: Denver Broncos in the 3rd round (96th overall) of the 2002 NFL Draft.
Matt Moore,: WR,1980-11-05,6,3,200,"
    in Aurora, CO",Illinois,Deerfield,IL,NA,
